"id_keyphrase";"keyphrase";"stemmed_keyphrase"
4101;"Multilinear principal component analysis";"multilinear principal component analysi"
4102;"Multilinear subspace learning";"multilinear subspace learn"
4103;"Multilingual notation";"multilingual not"
4104;"Multimap";"multimap"
4105;"multimedia";"multimedia"
4106;"Multimedia Web Ontology Language";"multimedia web ontology languag"
4107;"Multimodal Architecture and Interfaces";"multimodal architecture and interfac"
4108;"multinational characters";"multinational charact"
4109;"MultiNet";"multinet"
4110;"Multinomial logistic regression";"multinomial logistic regress"
4111;"Multi-objective optimization";"multi-objective optim"
4112;"Multi-particle collision dynamics";"multi-particle collision dynam"
4113;"multiple comparison";"multiple comparison"
4114;"Multiple Coordinated Agents Coevolution Evolutionary Algorithm";"multiple coordinated agents coevolution evolutionary algorithm"
4115;"Multiple description coding";"multiple description cod"
4116;"Multiple discriminant analysis";"multiple discriminant analysi"
4117;"Multiple displacement amplification";"multiple displacement amplif"
4118;"Multiple Document Interface";"multiple document interfac"
4119;"Multiple EM for Motif Elicitation";"multiple em for motif elicit"
4120;"Multiple encryption";"multiple encrypt"
4121;"multiple instruction, multiple data";"multiple instruction, multiple data"
4122;"multiple instruction, single data";"multiple instruction, single data"
4123;"multiple linear regression";"multiple linear regress"
4124;"Multiple of the median";"multiple of the median"
4125;"Multiple sequence alignment";"multiple sequence align"
4126;"Multiple-emitter transistor";"multiple-emitter transistor"
4127;"Multiple-Level Queues";"multiple-level queu"
4128;"Multiple-try Metropolis";"multiple-try metropoli"
4129;"Multiplication";"multipl"
4130;"Multiplication algorithm";"multiplication algorithm"
4131;"multiplication table";"multiplication t"
4132;"Multiplicative function";"multiplicative funct"
4133;"Multiplicative order";"multiplicative ord"
4134;"Multiprocessing";"multiprocess"
4135;"Multiprocessor";"multiprocessor"
4136;"Multiprogramming";"multiprogram"
4137;"Multiphase particle-in-cell method";"multiphase particle-in-cell method"
4138;"Multiphysics";"multiphys"
4139;"Multiphysics Methods Group";"multiphysics methods group"
4140;"Multirecombination";"multirecombin"
4141;"Multiscale Electrophysiology Format";"multiscale electrophysiology format"
4142;"Multiscale modeling";"multiscale model"
4143;"Multiset";"multiset"
4144;"Multispectral imaging";"multispectral imag"
4145;"Multispectral pattern recognition";"multispectral pattern recognit"
4146;"Multitape Turing machine";"multitape turing machin"
4147;"Multitenancy";"multiten"
4148;"Multitier architecture";"multitier architectur"
4149;"Multithreading";"multithread"
4150;"Multi-threshold CMOS";"multi-threshold cmo"
4151;"Multi-track Turing machine";"multi-track turing machin"
4152;"Multiuse Model View";"multiuse model view"
4153;"multivariate adaptive regression splines";"multivariate adaptive regression splin"
4154;"Multivariate interpolation";"multivariate interpol"
4155;"Multiway trees";"multiway tre"
4156;"Müntz–Szász theorem";"müntz–szász theorem"
4157;"Museum guard problem";"museum guard problem"
4158;"Music and artificial intelligence";"music and artificial intellig"
4159;"Musical set theory";"musical set theori"
4160;"Mutation rate";"mutation r"
4161;"Mutation strength";"mutation strength"
4162;"Mutation/ mutation operator";"mutation/ mutation oper"
4163;"Mutual authentication";"mutual authent"
4164;"mutual information";"mutual inform"
4165;"MVC4WPF";"mvc4wpf"
4166;"MVCML";"mvcml"
4167;"MyGrid";"mygrid"
4168;"Myhill-Nerode theorem";"myhill-nerode theorem"
4169;"Nagell–Lutz theorem";"nagell–lutz theorem"
4170;"Nagios";"nagio"
4171;"naive bayes";"naive bay"
4172;"Naive Bayes classifier";"naive bayes classifi"
4173;"Naive semantics";"naive semant"
4174;"Naive set theory";"naive set theori"
4175;"Naked objects";"naked object"
4176;"Named entity recognition";"named entity recognit"
4177;"Named graph";"named graph"
4178;"Named-entity extraction";"named-entity extract"
4179;"Named-entity recognition";"named-entity recognit"
4180;"naming";"name"
4181;"nancial trading criteria";"nancial trading criteria"
4182;"nanobot";"nanobot"
4183;"Nanoengineering";"nanoengin"
4184;"Nanorobotics";"nanorobot"
4185;"Nanoroute";"nanorout"
4186;"Naor-Reingold Pseudorandom Function";"naor-reingold pseudorandom funct"
4187;"Napier`s bones";"napier`s bon"
4188;"NAR 1";"nar 1"
4189;"NAR 2";"nar 2"
4190;"Nassi–Shneiderman diagram";"nassi–shneiderman diagram"
4191;"Natural deduction";"natural deduct"
4192;"Natural evolution strategy";"natural evolution strategi"
4193;"natural language";"natural languag"
4194;"Natural language interface";"natural language interfac"
4195;"Natural language processing";"natural language process"
4196;"Natural language programming";"natural language program"
4197;"Natural Language Toolkit";"natural language toolkit"
4198;"Natural language understanding";"natural language understand"
4199;"Natural language user interface";"natural language user interfac"
4200;"Natural neighbor interpolation";"natural neighbor interpol"
4201;"Natural number object";"natural number object"
4202;"Natural proof";"natural proof"
4203;"Natural Standard";"natural standard"
4204;"Natural transformation";"natural transform"
4205;"Natural Wait";"natural wait"
4206;"Navigation Button";"navigation button"
4207;"Navigation mesh";"navigation mesh"
4208;"NCI Metathesaurus";"nci metathesauru"
4209;"NDepend";"ndepend"
4210;"NDTP";"ndtp"
4211;"Nearest centroid classifier";"nearest centroid classifi"
4212;"Nearest neighbor";"nearest neighbor"
4213;"Nearest Neighbor Algorithm";"nearest neighbor algorithm"
4214;"Nearest neighbor search";"nearest neighbor search"
4215;"Nearest neighbor value interpolation";"nearest neighbor value interpol"
4216;"Nearest neighbour algorithm";"nearest neighbour algorithm"
4217;"Nearest neighbour classifiers";"nearest neighbour classifi"
4218;"Needleman–Wunsch algorithm";"needleman–wunsch algorithm"
4219;"negentropy";"negentropi"
4220;"Nehalem";"nehalem"
4221;"Neighborhood";"neighborhood"
4222;"Neighborhood model";"neighborhood model"
4223;"Neighborhood size";"neighborhood s"
4224;"Neil Leslie Webster";"neil leslie webst"
4225;"Nelder–Mead method";"nelder–mead method"
4226;"Neocognitron";"neocognitron"
4227;"NeOn Toolkit";"neon toolkit"
4228;"Nervous system network models";"nervous system network model"
4229;"Nested dissection";"nested dissect"
4230;"Nested EA";"nested ea"
4231;"Nested quotation";"nested quot"
4232;"Nested stack automaton";"nested stack automaton"
4233;"Nested word";"nested word"
4234;"nesting";"nest"
4235;"NetBase Solutions, Inc.";"netbase solutions, inc."
4236;"Netbook Computer";"netbook comput"
4237;"NetBurst";"netburst"
4238;"Net-SNMP";"net-snmp"
4239;"NETtalk";"nettalk"
4240;"Network";"network"
4241;"Network analysis";"network analysi"
4242;"Network Interface Card";"network interface card"
4243;"Networked control system";"networked control system"
4244;"Networking hardware";"networking hardwar"
4245;"NetXMS";"netxm"
4246;"Neural backpropagation";"neural backpropag"
4247;"Neural coding";"neural cod"
4248;"Neural cryptography";"neural cryptographi"
4249;"Neural decoding";"neural decod"
4250;"Neural gas";"neural ga"
4251;"Neural Interdependent";"neural interdepend"
4252;"Neural modeling fields";"neural modeling field"
4253;"Neural networks";"neural network"
4254;"Neural oscillation";"neural oscil"
4255;"Neurally controlled animat";"neurally controlled animat"
4256;"Neuroevolution";"neuroevolut"
4257;"Neuroevolution of augmenting topologies";"neuroevolution of augmenting topolog"
4258;"neuroimaging";"neuroimag"
4259;"NeuroLex";"neurolex"
4260;"neurolinguistics";"neurolinguist"
4261;"Neuroplasticity";"neuroplast"
4262;"neurophilosophy";"neurophilosophi"
4263;"neuroscience";"neurosci"
4264;"Neuroscience Information Framework";"neuroscience information framework"
4265;"Neutral build";"neutral build"
4266;"Neutral mutation";"neutral mut"
4267;"Nevanlinna–Pick interpolation";"nevanlinna–pick interpol"
4268;"Never-Ending Language Learning";"never-ending language learn"
4269;"Neville`s algorithm";"neville`s algorithm"
4270;"New Foundations";"new found"
4271;"New Mersenne conjecture";"new mersenne conjectur"
4272;"Newbler";"newbler"
4273;"Newmark-beta method";"newmark-beta method"
4274;"NewPGen";"newpgen"
4275;"News analytics";"news analyt"
4276;"Newsvendor model";"newsvendor model"
4277;"Newton fractal";"newton fract"
4278;"Newton polynomial";"newton polynomi"
4279;"Newton–Cotes formulas";"newton–cotes formula"
4280;"Newton`s method";"newton`s method"
4281;"Nextbio";"nextbio"
4282;"Next-Fit Scheme";"next-fit schem"
4283;"NeXtProt";"nextprot"
4284;"Nexus file";"nexus fil"
4285;"N-gram";"n-gram"
4286;"N-huge cardinal";"n-huge cardin"
4287;"Ni1000";"ni1000"
4288;"NIAID ChemDB";"niaid chemdb"
4289;"NIC";"nic"
4290;"Niching";"nich"
4291;"Nine lemma";"nine lemma"
4292;"NIPRNet";"niprnet"
4293;"Nitol botnet";"nitol botnet"
4294;"Niven`s constant";"niven`s const"
4295;"NMOS logic";"nmos log"
4296;"Noam Chomsky";"noam chomski"
4297;"Node";"node"
4298;"Node graph architecture";"node graph architectur"
4299;"Node/block";"node/block"
4300;"NoeClone";"noeclon"
4301;"NoePrimer";"noeprim"
4302;"Nofollow";"nofollow"
4303;"Noisy channel model";"noisy channel model"
4304;"Noisy text";"noisy text"
4305;"Noisy text analytics";"noisy text analyt"
4306;"Noisy-channel coding theorem";"noisy-channel coding theorem"
4307;"Noisy-storage model";"noisy-storage model"
4308;"NOMESCO";"nomesco"
4309;"Non-blocking algorithm";"non-blocking algorithm"
4310;"Nonblocking Minimal Spanning Switch";"nonblocking minimal spanning switch"
4311;"Non-comparison sorts";"non-comparison sort"
4312;"Nonconstructive proof";"nonconstructive proof"
4313;"Noncototient";"noncototi"
4314;"non-deterministic";"non-determinist"
4315;"Nondeterministic finite automaton";"nondeterministic finite automaton"
4316;"Nondeterministic polynomial";"nondeterministic polynomi"
4317;"Nondeterministic programming";"nondeterministic program"
4318;"Non-deterministic Turing machine";"non-deterministic turing machin"
4319;"Non-empty set";"non-empty set"
4320;"Nonfirstorderizability";"nonfirstorderiz"
4321;"Nonlinear complementarity problem";"nonlinear complementarity problem"
4322;"Nonlinear conjugate gradient method";"nonlinear conjugate gradient method"
4323;"Nonlinear control";"nonlinear control"
4324;"Nonlinear dimensionality reduction";"nonlinear dimensionality reduct"
4325;"Non-linear iterative partial least squares";"non-linear iterative partial least squar"
4326;"Non-linear least squares";"non-linear least squar"
4327;"Nonlinear stochastic systems theory";"nonlinear stochastic systems theori"
4328;"Non-monotonic logic";"non-monotonic log"
4329;"Nonpreemptive Scheduling Policy";"nonpreemptive scheduling polici"
4330;"nonprocedural language";"nonprocedural languag"
4331;"Nonrepudiation";"nonrepudi"
4332;"Nonspiking neurons";"nonspiking neuron"
4333;"Non-standard calculus";"non-standard calculu"
4334;"Non-standard model";"non-standard model"
4335;"Nonsynaptic plasticity";"nonsynaptic plast"
4336;"Nontotient";"nontoti"
4337;"Non-Uniform Memory Access";"non-uniform memory access"
4338;"Non-uniform rational B-spline";"non-uniform rational b-splin"
4339;"Non-wellfounded mereology";"non-wellfounded mereolog"
4340;"NooJ";"nooj"
4341;"Norm";"norm"
4342;"Normal basis";"normal basi"
4343;"Normal morphism";"normal morph"
4344;"Normalized cut segmentation";"normalized cut segment"
4345;"normalized mean squared error";"normalized mean squared error"
4346;"Nothing up my sleeve number";"nothing up my sleeve numb"
4347;"Nouvelle AI";"nouvelle ai"
4348;"NovaMind";"novamind"
4349;"Novelty detection";"novelty detect"
4350;"NP-complete";"np-complet"
4351;"n-tier architecture";"n-tier architectur"
4352;"nth root algorithm";"nth root algorithm"
4353;"Nuclear Receptor Signaling Atlas";"nuclear receptor signaling atla"
4354;"Nuisance variable";"nuisance vari"
4355;"Null Entry";"null entri"
4356;"NUMA";"numa"
4357;"Number Field";"number field"
4358;"Number needed to harm";"number needed to harm"
4359;"Numenta";"numenta"
4360;"Numeric precision in Microsoft Excel";"numeric precision in microsoft excel"
4361;"Numeric Range";"numeric rang"
4362;"Numerical computation of null space";"numerical computation of null spac"
4363;"Numerical continuation";"numerical continu"
4364;"Numerical differentiation";"numerical differenti"
4365;"Numerical error";"numerical error"
4366;"Numerical integration";"numerical integr"
4367;"Numerical model of the Solar System";"numerical model of the solar system"
4368;"Numerical relativity";"numerical rel"
4369;"Numerical smoothing and differentiation";"numerical smoothing and differenti"
4370;"Numerical stability";"numerical st"
4371;"Numerical weather prediction";"numerical weather predict"
4372;"Numerically controlled oscillator";"numerically controlled oscil"
4373;"Numerov`s method";"numerov`s method"
4374;"NURBS";"nurb"
4375;"Nursing classification?";"nursing classification?"
4376;"N-version programming";"n-version program"
4377;"NYSIIS";"nysii"
4378;"Nyström method";"nyström method"
4379;"object";"object"
4380;"object code";"object cod"
4381;"Object parameter";"object paramet"
4382;"Object Process Methodology";"object process methodolog"
4383;"Object Recognition";"object recognit"
4384;"Object-based language";"object-based languag"
4385;"Object-centered high-level reference ontology";"object-centered high-level reference ontolog"
4386;"Objective function";"objective funct"
4387;"Object-Oriented";"object-ori"
4388;"Object-oriented analysis and design";"object-oriented analysis and design"
4389;"Object-oriented design";"object-oriented design"
4390;"Object-oriented design ontology";"object-oriented design ontolog"
4391;"Object-oriented modeling";"object-oriented model"
4392;"object-oriented programming";"object-oriented program"
4393;"OBO Foundry";"obo foundri"
4394;"Observer effect";"observer effect"
4395;"Obstack";"obstack"
4396;"Occasionally connected computing";"occasionally connected comput"
4397;"Occurs check";"occurs check"
4398;"OCSP";"ocsp"
4399;"Octal Notation";"octal not"
4400;"Octree";"octre"
4401;"ODBC";"odbc"
4402;"Odd-even sort";"odd-even sort"
4403;"Odds algorithm";"odds algorithm"
4404;"Odds ratio";"odds ratio"
4405;"Office controller";"office control"
4406;"Off-line Root CA";"off-line root ca"
4407;"Offset logarithmic integral";"offset logarithmic integr"
4408;"OGML";"ogml"
4409;"Ohloh";"ohloh"
4410;"Oja`s rule";"oja`s rul"
4411;"OLE DB for OLAP";"ole db for olap"
4412;"OLE DB provider";"ole db provid"
4413;"Olog";"olog"
4414;"Omaha System";"omaha system"
4415;"OMDoc";"omdoc"
4416;"o-minimal theory";"o-minimal theori"
4417;"OmniGraffle";"omnigraffl"
4418;"One instruction set computer";"one instruction set comput"
4419;"One way function";"one way funct"
4420;"One-class classification";"one-class classif"
4421;"One-e-App";"one-e-app"
4422;"One-fifth-rule/";"one-fifth-rule/"
4423;"One-hot";"one-hot"
4424;"OneKey";"onekei"
4425;"One-liner program";"one-liner program"
4426;"One-off code";"one-off cod"
4427;"One-shot learning";"one-shot learn"
4428;"One-time key";"one-time kei"
4429;"One-time pad";"one-time pad"
4430;"One-way function";"one-way funct"
4431;"ONIOM";"oniom"
4432;"Online Certificate Status Protocol";"online certificate status protocol"
4433;"Online codes";"online cod"
4434;"Online Presence Ontology";"online presence ontolog"
4435;"Online-translator.com";"online-translator.com"
4436;"OntoCAPE";"ontocap"
4437;"Ontology";"ontolog"
4438;"Ontology alignment";"ontology align"
4439;"Ontology components";"ontology compon"
4440;"Ontology chart";"ontology chart"
4441;"Ontology Definition MetaModel";"ontology definition metamodel"
4442;"Ontology double articulation";"ontology double articul"
4443;"Ontology editor";"ontology editor"
4444;"Ontology engineering";"ontology engin"
4445;"Ontology for Biomedical Investigations";"ontology for biomedical investig"
4446;"Ontology Inference Layer";"ontology inference lay"
4447;"Ontology language";"ontology languag"
4448;"Ontology learning";"ontology learn"
4449;"Ontology library";"ontology librari"
4450;"Ontology merging";"ontology merg"
4451;"Ontology modularization";"ontology modular"
4452;"Ontology versioning";"ontology vers"
4453;"Ontology-based data integration";"ontology-based data integr"
4454;"OntoWiki";"ontowiki"
4455;"OOHDM";"oohdm"
4456;"OOP";"oop"
4457;"Opaque predicate";"opaque pred"
4458;"Open Agent Architecture";"open agent architectur"
4459;"Open architecture";"open architectur"
4460;"Open Biomedical Ontologies";"open biomedical ontolog"
4461;"Open domain question answering";"open domain question answ"
4462;"Open Mind Common Sense";"open mind common sens"
4463;"Open Regulatory Annotation Database";"open regulatory annotation databas"
4464;"Open Service Interface Definitions";"open service interface definit"
4465;"Open shell";"open shel"
4466;"Open shortest path first";"open shortest path first"
4467;"Open source compilers";"open source compil"
4468;"Open Source Software World Challenge";"open source software world challeng"
4469;"Open systems theory";"open systems theori"
4470;"Open/closed principle";"open/closed principl"
4471;"OpenACC";"openacc"
4472;"OpenCL";"opencl"
4473;"OpenEHR";"openehr"
4474;"OpenEI";"openei"
4475;"OpenHMPP";"openhmpp"
4476;"Open-label trial";"open-label tri"
4477;"OpenMP";"openmp"
4478;"OpenMS";"openm"
4479;"OpenNLP";"opennlp"
4480;"OpenPipeline";"openpipelin"
4481;"Operating system";"operating system"
4482;"Operating systems theory";"operating systems theori"
4483;"Operations";"oper"
4484;"OPLS";"opl"
4485;"Opsview";"opsview"
4486;"Optical character recognition";"optical character recognit"
4487;"Optical engineering";"optical engin"
4488;"Optical flow";"optical flow"
4489;"Optical mark recognition";"optical mark recognit"
4490;"Optical neural network";"optical neural network"
4491;"optimal control";"optimal control"
4492;"Optimal discriminant analysis";"optimal discriminant analysi"
4493;"Optimal projection equations";"optimal projection equ"
4494;"Optimal stopping";"optimal stop"
4495;"Optimal substructure";"optimal substructur"
4496;"Optimality theory";"optimality theori"
4497;"Optimization";"optim"
4498;"optimization procedure";"optimization procedur"
4499;"Oracle Data Mining";"oracle data min"
4500;"Oracle machine";"oracle machin"
4501;"Orange";"orang"
4502;"Orbit-Vis";"orbit-vi"
4503;"Order of operations";"order of oper"
4504;"Ordered subset expectation maximization";"ordered subset expectation maxim"
4505;"Ordered tree";"ordered tre"
4506;"Orders of approximation";"orders of approxim"
4507;"Ordinal classification";"ordinal classif"
4508;"Ordinal number";"ordinal numb"
4509;"ORh";"orh"
4510;"Oriented Point Relation Algebra";"oriented point relation algebra"
4511;"Orthant-wise limited-memory quasi-Newton";"orthant-wise limited-memory quasi-newton"
4512;"Orthogonal collocation";"orthogonal colloc"
4513;"Orthogonal Defect Classification";"orthogonal defect classif"
4514;"Orthogonal range searching";"orthogonal range search"
4515;"Orthogonalization algorithms";"orthogonalization algorithm"
4516;"orthography";"orthographi"
4517;"OsiriX";"osirix"
4518;"Oslo";"oslo"
4519;"Otter theorem prover";"otter theorem prov"
4520;"Other";"other"
4521;"Other Measures";"other measur"
4522;"Other methods for initial value problems";"other methods for initial value problem"
4523;"Outerplanar graph";"outerplanar graph"
4524;"outlier detection";"outlier detect"
4525;"Outline of cryptography";"outline of cryptographi"
4526;"Overflow";"overflow"
4527;"Overlap–add method";"overlap–add method"
4528;"Overlap–save method";"overlap–save method"
4529;"Overlay";"overlai"
4530;"Oversampled binary image sensor";"oversampled binary image sensor"
4531;"Overspill";"overspil"
4532;"Overton Prize";"overton pr"
4533;"Ovid Technologies";"ovid technolog"
4534;"OWL-S";"owl-"
4535;"P system";"p system"
4536;"P3M";"p3m"
4537;"P5";"p5"
4538;"P6";"p6"
4539;"Package Principles";"package principl"
4540;"Package-merge algorithm";"package-merge algorithm"
4541;"Packet erasure channel";"packet erasure channel"
4542;"Paco Nathan";"paco nathan"
4543;"Pachinko allocation";"pachinko alloc"
4544;"Padding";"pad"
4545;"Padé approximant";"padé approxim"
4546;"Padé table";"padé tabl"
4547;"p-adic analysis";"p-adic analysi"
4548;"p-adic number";"p-adic numb"
4549;"Padua points";"padua point"
4550;"Page Header";"page head"
4551;"PageRank";"pagerank"
4552;"Pagoda";"pagoda"
4553;"Pairing heap";"pairing heap"
4554;"Pairwise summation";"pairwise summ"
4555;"Pancake sorting";"pancake sort"
4556;"Pandora FMS";"pandora fm"
4557;"PANKOW";"pankow"
4558;"Panmictic population";"panmictic popul"
4559;"Panopticode";"panopticod"
4560;"Pantelides algorithm";"pantelides algorithm"
4561;"Paola Sebastiani";"paola sebastiani"
4562;"Paper bag problem";"paper bag problem"
4563;"Paper prototyping";"paper prototyp"
4564;"Paraconsistent logic";"paraconsistent log"
4565;"Paradox theorem prover";"paradox theorem prov"
4566;"Parallel algorithms";"parallel algorithm"
4567;"Parallel array";"parallel arrai"
4568;"Parallel computing";"parallel comput"
4569;"parallel database";"parallel databas"
4570;"Parallel distributed processing";"parallel distributed process"
4571;"parallel processing";"parallel process"
4572;"Parallel programming model";"parallel programming model"
4573;"Parallel random access machines";"parallel random access machin"
4574;"Parallel random-access machine";"parallel random-access machin"
4575;"Parallel slowdown";"parallel slowdown"
4576;"Parallel tempering";"parallel temp"
4577;"Parallel-TEBD";"parallel-tebd"
4578;"Parametric curve";"parametric curv"
4579;"Parametric surface";"parametric surfac"
4580;"parametricity.";"parametricity."
4581;"Parametron";"parametron"
4582;"Parasitic computing";"parasitic comput"
4583;"Parasitic noise";"parasitic nois"
4584;"ParaView";"paraview"
4585;"Parent";"parent"
4586;"Parent node";"parent nod"
4587;"Pareto optimality";"pareto optim"
4588;"Pareto set";"pareto set"
4589;"Parity";"pariti"
4590;"Parity-check matrix";"parity-check matrix"
4591;"Parse tree";"parse tre"
4592;"parsing";"pars"
4593;"Partial correctness";"partial correct"
4594;"Partial charge";"partial charg"
4595;"partial differential equations";"partial differential equ"
4596;"Partial element equivalent circuit";"partial element equivalent circuit"
4597;"Partial least squares regression";"partial least squares regress"
4598;"Partial least squares";"partial least squar"
4599;"Partial order reduction";"partial order reduct"
4600;"Particle filter";"particle filt"
4601;"Particle filtering";"particle filt"
4602;"Particle Mesh";"particle mesh"
4603;"Particle swarm optimization";"particle swarm optim"
4604;"Particle-in-cell";"particle-in-cel"
4605;"Partition function";"partition funct"
4606;"Partitioned global address space";"partitioned global address spac"
4607;"Part–whole theory";"part–whole theori"
4608;"Parvaresh–Vardy code";"parvaresh–vardy cod"
4609;"Pascal compilers";"pascal compil"
4610;"Pascal`s calculator";"pascal`s calcul"
4611;"pass";"pass"
4612;"Pass transistor logic";"pass transistor log"
4613;"Passive dynamics";"passive dynam"
4614;"Passphrase";"passphras"
4615;"Password Authenticated Key Exchange by Juggling";"password authenticated key exchange by juggl"
4616;"Password psychology";"password psycholog"
4617;"Password strength";"password strength"
4618;"Password-based cryptography";"password-based cryptographi"
4619;"Patch";"patch"
4620;"Patent classifications";"patent classif"
4621;"Patience sorting";"patience sort"
4622;"Patient administration system";"patient administration system"
4623;"Pattern recognition";"pattern recognit"
4624;"Pattern search";"pattern search"
4625;"Path";"path"
4626;"Path analysis";"path analysi"
4627;"Path integral molecular dynamics";"path integral molecular dynam"
4628;"Path integral Monte Carlo";"path integral monte carlo"
4629;"Patricia trie";"patricia tri"
4630;"Patrocladogram";"patrocladogram"
4631;"Payload abstraction";"payload abstract"
4632;"PC";"pc"
4633;"PCB";"pcb"
4634;"PCMOS";"pcmo"
4635;"PDA";"pda"
4636;"PDE surface";"pde surfac"
4637;"PDLC";"pdlc"
4638;"Peak calling";"peak cal"
4639;"Peano axioms";"peano axiom"
4640;"Peasant multiplication";"peasant multipl"
4641;"Pebble automaton";"pebble automaton"
4642;"Pebble motion problems";"pebble motion problem"
4643;"Peek";"peek"
4644;"Peer-to-Peer Network";"peer-to-peer network"
4645;"Pell`s equation";"pell`s equ"
4646;"Penalty method";"penalty method"
4647;"Penrose tiling";"penrose til"
4648;"Penryn";"penryn"
4649;"Pentadiagonal matrix";"pentadiagonal matrix"
4650;"Pentagonal number theorem";"pentagonal number theorem"
4651;"Pentium M";"pentium m"
4652;"Peptide sequence";"peptide sequ"
4653;"Peptide-mass fingerprint";"peptide-mass fingerprint"
4654;"Percept";"percept"
4655;"Perceptual Computing";"perceptual comput"
4656;"Perceptron";"perceptron"
4657;"Perfect forward secrecy";"perfect forward secreci"
4658;"Perfect graph";"perfect graph"
4659;"Perfect set property";"perfect set properti"
4660;"Perfect spline";"perfect splin"
4661;"Performance";"perform"
4662;"Performance measures";"performance measur"
4663;"Periodic table";"periodic t"
4664;"PerlCritic";"perlcrit"
4665;"Permissible exposure limit";"permissible exposure limit"
4666;"Permutation automaton";"permutation automaton"
4667;"Permutation operator";"permutation oper"
4668;"Persistence";"persist"
4669;"Personal Digital Assistant";"personal digital assist"
4670;"Personal genomics";"personal genom"
4671;"PersonalBrain";"personalbrain"
4672;"Personalized medicine";"personalized medicin"
4673;"Perturbation function";"perturbation funct"
4674;"Perturbation theory";"perturbation theori"
4675;"Pervasive computing";"pervasive comput"
4676;"Peter Pronovost";"peter pronovost"
4677;"Petersen graph";"petersen graph"
4678;"Petri net";"petri net"
4679;"Petri nets";"petri net"
4680;"Petriscript";"petriscript"
4681;"Pfam";"pfam"
4682;"PGP word list";"pgp word list"
4683;"Pick matrix";"pick matrix"
4684;"Pick`s theorem";"pick`s theorem"
4685;"PICO process";"pico process"
4686;"pidgin";"pidgin"
4687;"Piecewise linear continuation";"piecewise linear continu"
4688;"Pigeonhole sort";"pigeonhole sort"
4689;"Pile";"pile"
4690;"Pileup format";"pileup format"
4691;"Pillai`s conjecture";"pillai`s conjectur"
4692;"Pinhole camera model";"pinhole camera model"
4693;"Pipe and filter architecture";"pipe and filter architectur"
4694;"Pipeline Pilot";"pipeline pilot"
4695;"Pivot element";"pivot el"
4696;"Pizzino";"pizzino"
4697;"PL/I compilers";"pl/i compil"
4698;"Plain old data structure";"plain old data structur"
4699;"Plaintext";"plaintext"
4700;"Planar graph";"planar graph"
4701;"Plate notation";"plate not"
4702;"Platform-independent model";"platform-independent model"
4703;"Platform-specific model";"platform-specific model"
4704;"Plausibility structure";"plausibility structur"
4705;"Plotkin bound";"plotkin bound"
4706;"PMOS logic";"pmos log"
4707;"Pneumatics";"pneumat"
4708;"Point accepted mutation";"point accepted mut"
4709;"Point in polygon";"point in polygon"
4710;"Point location";"point loc"
4711;"Point release";"point releas"
4712;"Point set triangulation";"point set triangul"
4713;"Pointer";"pointer"
4714;"Pointer aliasing";"pointer alias"
4715;"Polar code";"polar cod"
4716;"Polar decomposition";"polar decomposit"
4717;"Polarizable continuum model";"polarizable continuum model"
4718;"Policy-based design";"policy-based design"
4719;"Polish space";"polish spac"
4720;"Pollard`s rho algorithm";"pollard`s rho algorithm"
4721;"Pollard`s p ? 1 algorithm";"pollard`s p ? 1 algorithm"
4722;"Pollination";"pollin"
4723;"Polyglot";"polyglot"
4724;"Polygon decomposition";"polygon decomposit"
4725;"Polygon intersection";"polygon intersect"
4726;"Polygon triangulation";"polygon triangul"
4727;"Polygraphic substitution";"polygraphic substitut"
4728;"Polyharmonic spline";"polyharmonic splin"
4729;"Polynomial and rational function modeling";"polynomial and rational function model"
4730;"Polynomial code";"polynomial cod"
4731;"Polynomial hierarchy";"polynomial hierarchi"
4732;"Polynomial interpolation";"polynomial interpol"
4733;"Polynomial kernel";"polynomial kernel"
4734;"Polynomial method";"polynomial method"
4735;"Polynomial time";"polynomial tim"
4736;"Polynomials";"polynomi"
4737;"Polynomial-time Turing reduction";"polynomial-time turing reduct"
4738;"Polytree";"polytre"
4739;"Polyvariance";"polyvari"
4740;"Pontryagin duality";"pontryagin du"
4741;"Pontryagin`s minimum principle";"pontryagin`s minimum principl"
4742;"Population";"popul"
4743;"Population models";"population model"
4744;"Population size";"population s"
4745;"Portrait";"portrait"
4746;"POSC Caesar";"posc caesar"
4747;"Pose estimation";"pose estim"
4748;"Positional tree";"positional tre"
4749;"Position-specific scoring matrix";"position-specific scoring matrix"
4750;"Positive set theory";"positive set theori"
4751;"Positron Emission Tomography";"positron emission tomographi"
4752;"POSIX Threads";"posix thread"
4753;"Post canonical system";"post canonical system"
4754;"Post correspondence problem";"post correspondence problem"
4755;"Post machine";"post machin"
4756;"Post-Hartree–Fock";"post-hartree–fock"
4757;"Post-hoc analysis";"post-hoc analysi"
4758;"Postman sort";"postman sort"
4759;"Post-order traversal";"post-order travers"
4760;"Post-quantum cryptography";"post-quantum cryptographi"
4761;"Post`s theorem";"post`s theorem"
4762;"Post–Turing machine";"post–turing machin"
4763;"Posynomial";"posynomi"
4764;"Potential isomorphism";"potential isomorph"
4765;"Powell`s method";"powell`s method"
4766;"Power consumption";"power consumpt"
4767;"Power graph analysis";"power graph analysi"
4768;"Power iteration";"power iter"
4769;"Power of two";"power of two"
4770;"Power set";"power set"
4771;"Power supplies";"power suppli"
4772;"Power–delay product";"power–delay product"
